CDIAC Number,Issuer,Issuance Documents,Sold Status,Sale Date,ADTR Report,ADTR Filing Status,ADTR Reportable,ADTR Reportable Next Fiscal Year,ADTR Last Reported Year,Debt Policy,Issuer County,MKR Authority,Local Obligation,MKR CDIAC Number,Issuer Group,Issuer Type,Project Name,Principal Amount,New Money,Refunding Amount,Net Issue Discount/Premium,Debt Type,Purpose,Source of Repayment,TIC Interest Rate,NIC Interest Rate,Interest Type,Other Interest Type,Federally Taxable,First Optional Call Date,Final Maturity Date,CAB Flag,S and P Rating,Moody Rating,Fitch Rating,Other Rating,Guarantor Flag,Guarantor,Sale Type (Comp/Neg),Private Placement Flag,Underwriter,Lender,Purchaser,Placement Agent,Financial Advisor,Co-Financial Advisor,Bond Counsel Fee,Bond Counsel,Co-Bond Counsel,Disclosure Counsel,Borrower Counsel,Trustee,Issue Costs Pct of Principal Amt,Total Issuance Costs,UW Takedown,UW Mngmt Fee,UW Expenses,UW Total Discount/Spread,Placement Agent Fee,Financial Advisor Fee,Co-Bond Counsel Fee,Disclosure Counsel Fee,Borrower Counsel Fee,Trustee Fee,Credit Enhancement Fee,Rating Agency Fee,Other Issuance Expenses
1991-1096,Oakland,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,08/22/1991 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,,45500000,0,45500000,,Conduit revenue bond,Single-Family Housing,Private obligor payments,7.026,,TIC,,,,,N/A,S:A+,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Goldman Sachs & Company,,,,,,,Orrick Herrington & Sutcliffe LLP,,,,,1.05,480000,,,,716625,,,,,,,,,
2006-0279,Hayward Redevelopment Agency,2006-0279.pdf (http://cdiacdocs.sto.ca.gov/2006-0279.pdf),SOLD,06/08/2006 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,Redevelopment Agency,Downtown (The Burbank/Cannery Subarea),11800000,11800000,0,-14093,Tax allocation bond,"Redevelopment, Multiple Purposes",Tax increment,,4.837,NIC,,,03/01/2016 12:00:00 AM,03/01/2036 12:00:00 AM,NO,S:AAA/A-,NOT RATED,NOT RATED,NOT RATED,Ins,XL Capital Assurance,Neg,Unknown,RBC Capital Markets LLC,,,,CSG Advisors,,0,Jones Hall A Professional Law Corp,,Lofton & Jennings,,Wells Fargo Bank National Association,3.88,457892,0,0,0,97350,0,0,0,0,0,0,0,0,360542
2010-1174,Hayward Unified School District,2010-1174.pdf (http://cdiacdocs.sto.ca.gov/2010-1174.pdf),SOLD,06/24/2010 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,"Series B, Build America Bonds",84030000,84030000,0,0,General obligation bond,K-12 School Facility,Other sources,5.724,,TIC,,Federally Taxable,08/01/2020 12:00:00 AM,08/01/2043 12:00:00 AM,NO,S:AAA/A+,M:Aa3/A2,NOT RATED,NOT RATED,Ins,Assured Guaranty Municipal Corporation,Neg,Unknown,Piper Jaffray & Co,,,,Government Financial Strategies Inc,,0,Lozano Smith LLP,,,,U.S. Bank National Association,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2435,Oakland,2015-2435.pdf (http://cdiacdocs.sto.ca.gov/2015-2435.pdf),SOLD,10/28/2015 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,City's IT Systems,17000000,17000000,0,0,Certificates of participation/leases,Equipment,General fund of issuing jurisdiction,0,2.81,,,,02/01/2016 12:00:00 AM,08/01/2021 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,YES,,,IBM Credit LLC,,,,27500,Orrick Herrington & Sutcliffe LLP,,,,,0.18,30800,0,0,0,0,0,0,0,0,0,750,0,0,2550
2002-1342,Newark,2002-1342.pdf (http://cdiacdocs.sto.ca.gov/2002-1342.pdf),SOLD,07/16/2002 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,Silliman Community Activity Ctr/Old Town Fire Station,9925000,9925000,0,-56905,Certificates of participation/leases,Recreation and Sports Facilities,General fund of issuing jurisdiction,,4.8,NIC,,,06/01/2009 12:00:00 AM,06/01/2032 12:00:00 AM,NO,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Ambac,Comp,Unknown,Morgan Stanley Dean Witter,,,,Northcross Hill & Ach,,40000,Quint & Thimmig LLP,,Foley & Lardner,,Union Bank of California,3.55,352333,0,0,0,91970,0,40000,0,22500,0,4120,100957,19900,32886
1999-1379,Berkeley,1999-1379.pdf (http://cdiacdocs.sto.ca.gov/1999-1379.pdf),SOLD,07/13/1999 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,Main Library Series C,14000000,14000000,0,164747,General obligation bond,"Multiple Capital Improvements, Public Works",Property tax revenues,,5.316,NIC,,,,09/01/2029 12:00:00 AM,NO,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Financial Guaranty Insurance Company,Comp,Unknown,Morgan Stanley Dean Witter,,,,Project Finance Associates,,0,Brown & Wood,,,,BNY Mellon Capital Markets LLC,0.93,130000,0,0,0,164747.15,0,0,0,0,0,0,0,0,0
2002-0490,Alameda County Board of Education,2002-0490.pdf (http://cdiacdocs.sto.ca.gov/2002-0490.pdf),SOLD,06/05/2002 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Counties,County Board of Education,,23900000,23900000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,1.677,,TIC,,,,07/01/2003 12:00:00 AM,NO,S:SP-1+,NOT RATED,NOT RATED,NOT RATED,,,Comp,Unknown,Banc of America Securities,,,,KNN/Kelling Northcross & Nobriga Inc,,,Quint & Thimmig LLP,,,,Alameda County,,,,,,,,,,,,,,,
1993-0963,New Haven Unified School District,1993-0963.pdf (http://cdiacdocs.sto.ca.gov/1993-0963.pdf),SOLD,07/27/1993 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Series A,10499566,10499566,0,0,General obligation bond,K-12 School Facility,Property tax revenues,,5.876,NIC,,,,,N/A,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Unknown,Comp,Unknown,Merrill Lynch Capital Markets,,,,KNN/Kelling Northcross & Nobriga Inc,,0,Jones Hall Hill & White,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-0168,Pleasanton,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,04/15/1986 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,AD No 82-3/Meyer Center,9500000,0,9500000,,Special assessment bond,"Multiple Capital Improvements, Public Works",Special assessments,,8.08,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,O:unknown,,,Neg,Unknown,Imperial Securities,,,,,,,Sturgis Ness Brunsell & Sperry,,,,,0.85,81134,,,,285000,,,,,,,,,
1992-0582,Oakland,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/09/1992 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,Oakland Museum,39408025,1697107,37710918,,Certificates of participation/leases,Public Building,Other sources,6.44,,TIC,,,,,N/A,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Unknown,Neg,Unknown,Bear Stearns & Company,,,,The PFM Group/Public Financial Management Inc,,,Wendel Rosen Black Dean & Levitan,,,,,1.91,751114,,,,424424.04,,,,,,,,,
