county,demographic_value,est_population,est_age_16plus_pop,total_partially_vaccinated,cumulative_fully_vaccinated,cumulative_at_least_one_dose,cumulative_unvax_total_pop,cumulative_unvax_16plus_pop
Alameda,1,123936,93158,16962,32788,49750,74186,43408
Alameda,2,341364,284038,55283,111209,166492,174872,117546
Alameda,3,363683,303062,66518,140596,207114,156569,95948
Alameda,4,829964,669808,174211,326356,500567,329397,169241
Alpine,1,,,0,0,0,,
Alpine,2,926,762,90,384,474,452,288
Alpine,3,,,0,0,0,,
Alpine,4,,,0,0,0,,
Amador,1,,,0,0,0,,
Amador,2,10416,8918,2269,2998,5267,5149,3651
Amador,3,28106,24478,4776,7618,12394,15712,12084
Amador,4,,,0,0,0,,
Butte,1,54785,44404,2893,13493,16386,38399,28018
Butte,2,129312,107902,9739,32759,42498,86814,65404
Butte,3,42062,33521,3696,14468,18164,23898,15357
Butte,4,,,0,0,0,,
Calaveras,1,8596,7556,1195,3285,4480,4116,3076
Calaveras,2,27844,23377,2369,6000,8369,19475,15008
Calaveras,3,7535,6492,1062,2988,4050,3485,2442
Calaveras,4,1035,966,71,168,239,796,727
Colusa,1,764,620,101,235,336,428,284
Colusa,2,20965,15839,2482,4716,7198,13767,8641
Colusa,3,,,0,0,0,,
Colusa,4,,,0,0,0,,
Contra Costa,1,31210,23539,5076,9420,14496,16714,9043
Contra Costa,2,313443,246262,46266,99085,145351,168092,100911
Contra Costa,3,87463,68262,11617,30954,42571,44892,25691
Contra Costa,4,702989,567938,111631,331617,443248,259741,124690
Del Norte,1,25693,20662,1730,5141,6871,18822,13791
Del Norte,2,1802,1490,134,426,560,1242,930
Del Norte,3,,,0,0,0,,
Del Norte,4,,,0,0,0,,
El Dorado,1,,,0,0,0,,
El Dorado,2,18847,15349,1485,4180,5665,13182,9684
El Dorado,3,120587,101723,12499,31956,44455,76132,57268
El Dorado,4,49057,38357,7352,18824,26176,22881,12181
Fresno,1,692441,505272,75516,162353,237869,454572,267403
Fresno,2,99354,76271,10311,27640,37951,61403,38320
Fresno,3,144384,114940,18741,49975,68716,75668,46224
Fresno,4,52957,39771,7748,21058,28806,24151,10965
Glenn,1,16412,12603,1282,4061,5343,11069,7260
Glenn,2,11855,9019,880,3110,3990,7865,5029
Glenn,3,,,0,0,0,,
Glenn,4,,,0,0,0,,
Humboldt,1,10731,8572,742,2033,2775,7956,5797
Humboldt,2,97897,81593,14181,27728,41909,55988,39684
Humboldt,3,27162,22117,3931,9012,12943,14219,9174
Humboldt,4,251,251,44,95,139,112,112
Imperial,1,152111,112244,25387,38134,63521,88590,48723
Imperial,2,,,0,0,0,,
Imperial,3,23970,18384,2993,5514,8507,15463,9877
Imperial,4,,,0,0,0,,
Inyo,1,100,100,8,25,33,67,67
Inyo,2,1528,1414,89,466,555,973,859
Inyo,3,17617,14425,1887,5220,7107,10510,7318
Inyo,4,17,17,3,28,31,0,0
Kern,1,611194,446642,51085,125150,176235,434959,270407
Kern,2,106460,80412,10534,23360,33894,72566,46518
Kern,3,171123,130329,16139,49178,65317,105806,65012
Kern,4,338,320,52,198,250,88,70
Kings,1,81654,62089,5523,12231,17754,63900,44335
Kings,2,67605,50557,6182,13216,19398,48207,31159
Kings,3,,,0,0,0,,
Kings,4,,,0,0,0,,
Lake,1,27861,22126,2191,6133,8324,19537,13802
Lake,2,35622,29595,3595,11139,14734,20888,14861
Lake,3,377,377,23,69,92,285,285
Lake,4,,,0,0,0,,
Lassen,1,3094,2782,59,203,262,2832,2520
Lassen,2,20823,17967,526,3193,3719,17104,14248
Lassen,3,3952,3307,86,640,726,3226,2581
Lassen,4,,,0,0,0,,
Los Angeles,1,3853269,2996564,555392,921349,1476741,2376528,1519823
Los Angeles,2,2483268,2013428,380372,745939,1126311,1356957,887117
Los Angeles,3,2242343,1865500,357914,799794,1157708,1084635,707792
Los Angeles,4,1486978,1233448,255877,619213,875090,611888,358358
Madera,1,113764,83610,11944,24422,36366,77398,47244
Madera,2,38690,31469,4201,11589,15790,22900,15679
Madera,3,1822,1570,212,604,816,1006,754
Madera,4,541,510,99,274,373,168,137
Marin,1,,,0,0,0,,
Marin,2,,,0,0,0,,
Marin,3,1124,917,194,535,729,395,188
Marin,4,254685,208364,42221,126993,169214,85471,39150
Mariposa,1,802,661,137,118,255,547,406
Mariposa,2,11559,9572,2281,2671,4952,6607,4620
Mariposa,3,2113,1882,422,440,862,1251,1020
Mariposa,4,114,114,7,24,31,83,83
Mendocino,1,6568,5361,653,2140,2793,3775,2568
Mendocino,2,67396,54246,8054,22777,30831,36565,23415
Mendocino,3,12741,10866,1279,4506,5785,6956,5081
Mendocino,4,136,136,28,51,79,57,57
Merced,1,259484,190609,30683,51168,81851,177633,108758
Merced,2,10514,8136,898,1624,2522,7992,5614
Merced,3,,,0,0,0,,
Merced,4,,,0,0,0,,
Modoc,1,492,485,37,177,214,278,271
Modoc,2,9416,7657,400,2496,2896,6520,4761
Modoc,3,,,0,0,0,,
Modoc,4,,,0,0,0,,
Mono,1,,,0,0,0,,
Mono,2,1559,1348,56,312,368,1191,980
Mono,3,328,320,10,78,88,240,232
Mono,4,10476,8488,905,5818,6723,3753,1765
Monterey,1,135648,96384,20412,36604,57016,78632,39368
Monterey,2,192920,147452,31285,55509,86794,106126,60658
Monterey,3,12229,10414,1857,4915,6772,5457,3642
Monterey,4,77460,65943,12650,30357,43007,34453,22936
Napa,1,,,0,0,0,,
Napa,2,763,612,157,417,574,189,38
Napa,3,123675,100296,21839,47718,69557,54118,30739
Napa,4,15800,13911,2677,6619,9296,6504,4615
Nevada,1,,,0,0,0,,
Nevada,2,27609,23447,3662,7998,11660,15949,11787
Nevada,3,50233,43450,5642,15397,21039,29194,22411
Nevada,4,18802,15021,3007,5229,8236,10566,6785
Orange,1,221837,168706,31519,54891,86410,135427,82296
Orange,2,855489,679547,125568,249514,375082,480407,304465
Orange,3,913799,749524,130457,301858,432315,481484,317209
Orange,4,1183500,956145,181733,438156,619889,563611,336256
Placer,1,,,0,0,0,,
Placer,2,2348,1818,287,706,993,1355,825
Placer,3,245398,200575,28486,76162,104648,140750,95927
Placer,4,139946,109207,20468,51381,71849,68097,37358
Plumas,1,3767,3101,282,1263,1545,2222,1556
Plumas,2,13574,11913,761,4193,4954,8620,6959
Plumas,3,3112,2568,231,1238,1469,1643,1099
Plumas,4,,,0,0,0,,
Riverside,1,935609,719507,108382,202036,310418,625191,409089
Riverside,2,697806,550623,84371,190133,274504,423302,276119
Riverside,3,780023,601815,93389,223010,316399,463624,285416
Riverside,4,,,0,0,0,,
Sacramento,1,408089,310313,42351,84620,126971,281118,183342
Sacramento,2,435857,351067,49968,116116,166084,269773,184983
Sacramento,3,473086,375537,58071,152963,211034,262052,164503
Sacramento,4,208125,164993,30758,77803,108561,99564,56432
San Benito,1,,,0,0,0,,
San Benito,2,4676,3735,661,1391,2052,2624,1683
San Benito,3,54154,41501,7763,14305,22068,32086,19433
San Benito,4,,,0,0,0,,
San Bernardino,1,1129305,837205,112932,198694,311626,817679,525579
San Bernardino,2,650902,508325,73046,164953,237999,412903,270326
San Bernardino,3,262516,212792,33630,84080,117710,144806,95082
San Bernardino,4,96673,76822,12036,33504,45540,51133,31282
San Diego,1,325374,251231,64962,78141,143103,182271,108128
San Diego,2,1211704,966842,263718,331856,595574,616130,371268
San Diego,3,930445,768561,210318,294322,504640,425805,263921
San Diego,4,835729,672963,225397,339017,564414,271315,108549
San Francisco,1,34400,31438,7631,13657,21288,13112,10150
San Francisco,2,80593,69963,17915,33728,51643,28950,18320
San Francisco,3,242659,215218,49595,100818,150413,92246,64805
San Francisco,4,516880,452095,112224,211965,324189,192691,127906
San Joaquin,1,297483,222122,34810,59422,94232,203251,127890
San Joaquin,2,217344,166095,30037,56501,86538,130806,79557
San Joaquin,3,192506,146873,26018,50817,76835,115671,70038
San Joaquin,4,32091,24631,5843,9517,15360,16731,9271
San Luis Obispo,1,,,0,0,0,,
San Luis Obispo,2,21299,17074,2879,5470,8349,12950,8725
San Luis Obispo,3,251079,211761,31270,74861,106131,144948,105630
San Luis Obispo,4,9683,8739,1232,3641,4873,4810,3866
San Mateo,1,,,0,0,0,,
San Mateo,2,34867,27208,7362,10604,17966,16901,9242
San Mateo,3,85171,70870,14923,30638,45561,39610,25309
San Mateo,4,617742,505371,120983,249120,370103,247639,135268
Santa Barbara,1,65493,45210,8275,14980,23255,42238,21955
Santa Barbara,2,96755,72651,12377,25640,38017,58738,34634
Santa Barbara,3,181892,153357,31300,57607,88907,92985,64450
Santa Barbara,4,97815,83253,16797,42238,59035,38780,24218
Santa Clara,1,,,0,0,0,,
Santa Clara,2,255932,202778,46586,74677,121263,134669,81515
Santa Clara,3,390111,311565,76712,129083,205795,184316,105770
Santa Clara,4,1302472,1046848,330258,459411,789669,512803,257179
Santa Cruz,1,,,0,0,0,,
Santa Cruz,2,94647,71498,15283,29487,44770,49877,26728
Santa Cruz,3,94075,81220,18371,33896,52267,41808,28953
Santa Cruz,4,93675,78696,17993,33236,51229,42446,27467
Shasta,1,34231,27154,2766,6088,8854,25377,18300
Shasta,2,131977,107339,12283,27956,40239,91738,67100
Shasta,3,4135,3457,437,1301,1738,2397,1719
Shasta,4,,,0,0,0,,
Sierra,1,1779,1479,39,500,539,1240,940
Sierra,2,569,451,45,334,379,190,72
Sierra,3,281,248,12,217,229,52,19
Sierra,4,126,126,10,174,184,0,0
Siskiyou,1,4117,3529,259,512,771,3346,2758
Siskiyou,2,38357,31485,3015,9773,12788,25569,18697
Siskiyou,3,,,0,0,0,,
Siskiyou,4,,,0,0,0,,
Solano,1,41212,32598,6598,10663,17261,23951,15337
Solano,2,118050,93175,17307,31243,48550,69500,44625
Solano,3,213908,172558,28765,60121,88886,125022,83672
Solano,4,67589,54789,11178,26751,37929,29660,16860
Sonoma,1,,,0,0,0,,
Sonoma,2,49443,39097,7613,13764,21377,28066,17720
Sonoma,3,292115,242415,43213,110260,153473,138642,88942
Sonoma,4,157879,130449,24408,65483,89891,67988,40558
Stanislaus,1,293114,218314,37024,64554,101578,191536,116736
Stanislaus,2,245133,189571,36519,65248,101767,143366,87804
Stanislaus,3,7022,5525,799,1562,2361,4661,3164
Stanislaus,4,,,0,0,0,,
Statewide,1,10617643,8051741,1388371,2482378,3870749,6746894,4180992
Statewide,2,9902776,7897587,1509149,2880029,4389178,5513598,3508409
Statewide,3,9397006,7688185,1489081,3198445,4687526,4709480,3000659
Statewide,4,9298697,7584050,1809164,3706711,5515875,3782822,2068175
Sutter,1,51786,38904,4823,12615,17438,34348,21466
Sutter,2,40554,31863,4538,12341,16879,23675,14984
Sutter,3,4905,3827,338,1143,1481,3424,2346
Sutter,4,,,0,0,0,,
Tehama,1,1713,1327,71,381,452,1261,875
Tehama,2,68904,54094,3968,13965,17933,50971,36161
Tehama,3,343,296,29,120,149,194,147
Tehama,4,21,21,5,14,19,2,2
Trinity,1,6764,5867,656,1112,1768,4996,4099
Trinity,2,2512,2312,180,597,777,1735,1535
Trinity,3,3570,2776,323,1162,1485,2085,1291
Trinity,4,,,0,0,0,,
Tulare,1,385256,275794,31550,91328,122878,262378,152916
Tulare,2,69954,53319,5714,18947,24661,45293,28658
Tulare,3,2532,2249,186,934,1120,1412,1129
Tulare,4,308,268,23,150,173,135,95
Tuolumne,1,,,0,0,0,,
Tuolumne,2,44222,37806,4041,13028,17069,27153,20737
Tuolumne,3,10851,9040,961,3058,4019,6832,5021
Tuolumne,4,,,0,0,0,,
Ventura,1,84701,61676,10749,22977,33726,50975,27950
Ventura,2,216777,166320,29015,64467,93482,123295,72838
Ventura,3,142802,117751,17630,51495,69125,73677,48626
Ventura,4,407908,331893,59876,145801,205677,202231,126216
Yolo,1,17131,13022,2191,3759,5950,11181,7072
Yolo,2,45228,35282,7110,13072,20182,25046,15100
Yolo,3,125880,104506,21104,42478,63582,62298,40924
Yolo,4,28896,23355,5026,11481,16507,12389,6848
Yuba,1,63873,47201,4922,11831,16753,47120,30448
Yuba,2,7546,6204,531,1800,2331,5215,3873
Yuba,3,4007,3168,314,910,1224,2783,1944
Yuba,4,39,23,7,18,25,14,0
,,,,,,,,
