,county,age group,est_population,est_age_16plus_pop,administered_date,partially_vaccinated,total_partially_vaccinated,fully_vaccinated,cumulative_fully_vaccinated,at_least_one_dose,cumulative_at_least_one_dose,cumulative_unvax_total_pop,cumulative_unvax_16plus_pop,% with at least one dose (out of entire pop),% fully vaccinated (out of entire pop)
0,Alameda,0-17,367870.0,40855.0,2021-04-27,430.0,13252.0,129.0,3103.0,432.0,16355.0,351515.0,24500.0,0.04445864028053388,0.00843504498871884
1,Yuba,18-49,35612.0,35612.0,2021-03-06,232.0,1243.0,15.0,1050.0,233.0,2293.0,33319.0,33319.0,0.06438840840166236,0.029484443446029428
2,Alameda,0-17,367870.0,40855.0,2021-04-26,401.0,12949.0,86.0,2974.0,401.0,15923.0,351947.0,24932.0,0.04328431239296491,0.008084377633403105
3,Yuba,18-49,35612.0,35612.0,2021-03-05,111.0,1025.0,10.0,1035.0,112.0,2060.0,33552.0,33552.0,0.05784566999887678,0.02906323711108615
4,Alameda,0-17,367870.0,40855.0,2021-04-24,740.0,12314.0,128.0,2847.0,740.0,15161.0,352709.0,25694.0,0.04121292848016962,0.0077391469812705576
5,Yuba,18-49,35612.0,35612.0,2021-03-04,170.0,923.0,22.0,1025.0,170.0,1948.0,33664.0,33664.0,0.05470066269796698,0.028782432887790633
6,Alameda,0-17,367870.0,40855.0,2021-04-20,769.0,9866.0,92.0,2203.0,769.0,12069.0,355801.0,28786.0,0.03280778535895833,0.00598852855628347
7,Yuba,18-49,35612.0,35612.0,2021-03-03,74.0,775.0,26.0,1003.0,74.0,1778.0,33834.0,33834.0,0.049926990901943163,0.028164663596540494
8,Alameda,0-17,367870.0,40855.0,2021-04-12,400.0,4005.0,60.0,1519.0,401.0,5524.0,362346.0,35331.0,0.015016174191969989,0.004129176067632588
9,Yuba,18-49,35612.0,35612.0,2021-03-02,14.0,727.0,14.0,977.0,14.0,1704.0,33908.0,33908.0,0.04784903964955633,0.027434572615972146
10,Alameda,0-17,367870.0,40855.0,2021-03-27,178.0,1567.0,76.0,758.0,178.0,2325.0,365545.0,38530.0,0.006320167450458042,0.0020605105064289016
11,Yuba,18-49,35612.0,35612.0,2021-03-01,14.0,727.0,8.0,963.0,14.0,1690.0,33922.0,33922.0,0.047455913736942607,0.027041446703358417
12,Alameda,0-17,367870.0,40855.0,2021-02-24,28.0,292.0,2.0,59.0,28.0,351.0,367519.0,40504.0,0.0009541414086497948,0.00016038274390409656
13,Yuba,18-49,35612.0,35612.0,2021-02-28,10.0,721.0,1.0,955.0,10.0,1676.0,33936.0,33936.0,0.04706278782432888,0.026816803324722003
14,Alameda,0-17,367870.0,40855.0,2020-12-22,0.0,1.0,0.0,0.0,0.0,1.0,367869.0,40854.0,2.7183515915948568e-06,0.0
15,Yuba,18-49,35612.0,35612.0,2021-02-27,41.0,712.0,10.0,954.0,41.0,1666.0,33946.0,33946.0,0.04678198360103336,0.026788722902392453
16,Alameda,18-49,709483.0,709483.0,2021-01-01,86.0,14693.0,0.0,2.0,86.0,14695.0,694788.0,694788.0,0.020712265128269458,2.8189540834664115e-06
17,Yuba,18-49,35612.0,35612.0,2021-02-26,38.0,681.0,15.0,944.0,38.0,1625.0,33987.0,33987.0,0.045630686285521735,0.026507918679096933
18,Alameda,65+,285108.0,285108.0,2021-01-21,3946.0,19726.0,60.0,1076.0,3946.0,20802.0,264306.0,264306.0,0.07296182499263437,0.003774008445922247
19,Yuba,18-49,35612.0,35612.0,2021-02-25,47.0,658.0,13.0,929.0,47.0,1587.0,34025.0,34025.0,0.04456363023699877,0.026086712344153655
20,Del Norte,50-64,5668.0,5668.0,2021-01-23,0.0,217.0,0.0,79.0,0.0,296.0,5372.0,5372.0,0.05222300635144672,0.013937896965419902
21,Yuba,18-49,35612.0,35612.0,2021-02-24,40.0,624.0,31.0,916.0,40.0,1540.0,34072.0,34072.0,0.04324385038750983,0.025721666853869483
22,Del Norte,50-64,5668.0,5668.0,2021-01-22,4.0,217.0,2.0,79.0,4.0,296.0,5372.0,5372.0,0.05222300635144672,0.013937896965419902
23,Yuba,18-49,35612.0,35612.0,2021-02-23,9.0,615.0,13.0,885.0,9.0,1500.0,34112.0,34112.0,0.04212063349432776,0.024851173761653376
24,Del Norte,50-64,5668.0,5668.0,2021-01-21,5.0,215.0,4.0,77.0,5.0,292.0,5376.0,5376.0,0.051517290049400144,0.013585038814396613
25,Yuba,18-49,35612.0,35612.0,2021-02-22,18.0,619.0,18.0,872.0,18.0,1491.0,34121.0,34121.0,0.041867909693361786,0.0244861282713692
26,Del Norte,50-64,5668.0,5668.0,2021-01-20,14.0,214.0,18.0,73.0,14.0,287.0,5381.0,5381.0,0.05063514467184192,0.012879322512350036
27,Yuba,18-49,35612.0,35612.0,2021-02-21,0.0,619.0,1.0,854.0,0.0,1473.0,34139.0,34139.0,0.04136246209142985,0.023980680669437267
28,Del Norte,50-64,5668.0,5668.0,2021-01-19,7.0,218.0,18.0,55.0,7.0,273.0,5395.0,5395.0,0.0481651376146789,0.009703599153140438
29,Yuba,18-49,35612.0,35612.0,2021-02-20,21.0,620.0,8.0,853.0,21.0,1473.0,34139.0,34139.0,0.04136246209142985,0.023952600247107717
30,Del Norte,50-64,5668.0,5668.0,2021-01-18,1.0,229.0,0.0,37.0,1.0,266.0,5402.0,5402.0,0.04693013408609739,0.00652787579393084
31,Yuba,18-49,35612.0,35612.0,2021-02-19,21.0,607.0,9.0,845.0,21.0,1452.0,34160.0,34160.0,0.040772773222509266,0.023727956868471303
32,Del Norte,50-64,5668.0,5668.0,2021-01-17,0.0,228.0,0.0,37.0,0.0,265.0,5403.0,5403.0,0.04675370501058575,0.00652787579393084
33,Yuba,18-49,35612.0,35612.0,2021-02-18,43.0,595.0,21.0,836.0,43.0,1431.0,34181.0,34181.0,0.04018308435358868,0.023475233067505336
34,Del Norte,50-64,5668.0,5668.0,2021-01-16,0.0,228.0,0.0,37.0,0.0,265.0,5403.0,5403.0,0.04675370501058575,0.00652787579393084
35,Yuba,18-49,35612.0,35612.0,2021-02-17,16.0,573.0,71.0,815.0,16.0,1388.0,34224.0,34224.0,0.03897562619341795,0.022885544198584747
36,Del Norte,50-64,5668.0,5668.0,2021-01-15,31.0,228.0,8.0,37.0,31.0,265.0,5403.0,5403.0,0.04675370501058575,0.00652787579393084
37,Yuba,18-49,35612.0,35612.0,2021-02-16,24.0,628.0,12.0,744.0,24.0,1372.0,34240.0,34240.0,0.03852633943614512,0.020891834213186567
38,Del Norte,50-64,5668.0,5668.0,2021-01-14,3.0,205.0,2.0,29.0,3.0,234.0,5434.0,5434.0,0.04128440366972477,0.0051164431898376855
39,Yuba,18-49,35612.0,35612.0,2021-02-15,6.0,616.0,4.0,732.0,6.0,1348.0,34264.0,34264.0,0.037852409300235874,0.020554869145231944
40,Del Norte,50-64,5668.0,5668.0,2021-01-13,8.0,204.0,13.0,27.0,8.0,231.0,5437.0,5437.0,0.04075511644318984,0.004763585038814397
41,Yuba,18-49,35612.0,35612.0,2021-02-14,2.0,614.0,1.0,728.0,2.0,1342.0,34270.0,34270.0,0.03768392676625856,0.020442547455913736
42,Del Norte,50-64,5668.0,5668.0,2021-01-12,11.0,209.0,7.0,14.0,11.0,223.0,5445.0,5445.0,0.039343683839096685,0.0024700070571630206
43,Yuba,18-49,35612.0,35612.0,2021-02-13,30.0,613.0,6.0,727.0,30.0,1340.0,34272.0,34272.0,0.037627765921599464,0.020414467033584186
44,Del Norte,50-64,5668.0,5668.0,2021-01-11,12.0,205.0,7.0,7.0,12.0,212.0,5456.0,5456.0,0.0374029640084686,0.0012350035285815103
45,Yuba,18-49,35612.0,35612.0,2021-02-12,21.0,589.0,14.0,721.0,21.0,1310.0,34302.0,34302.0,0.03678535325171291,0.020245984499606875
46,Del Norte,50-64,5668.0,5668.0,2021-01-10,0.0,200.0,0.0,0.0,0.0,200.0,5468.0,5468.0,0.035285815102328866,0.0
47,Yuba,18-49,35612.0,35612.0,2021-02-11,26.0,582.0,40.0,707.0,26.0,1289.0,34323.0,34323.0,0.036195664382792314,0.01985285858699315
48,Del Norte,50-64,5668.0,5668.0,2021-01-09,0.0,200.0,0.0,0.0,0.0,200.0,5468.0,5468.0,0.035285815102328866,0.0
49,Yuba,18-49,35612.0,35612.0,2021-02-10,18.0,596.0,69.0,667.0,18.0,1263.0,34349.0,34349.0,0.03546557340222397,0.018729641693811076
50,Del Norte,50-64,5668.0,5668.0,2021-01-08,15.0,200.0,0.0,0.0,15.0,200.0,5468.0,5468.0,0.035285815102328866,0.0
51,Yuba,18-49,35612.0,35612.0,2021-02-09,18.0,647.0,38.0,598.0,18.0,1245.0,34367.0,34367.0,0.034960125800292036,0.016792092553072
52,Del Norte,50-64,5668.0,5668.0,2021-01-07,10.0,185.0,0.0,0.0,10.0,185.0,5483.0,5483.0,0.0326393789696542,0.0
53,Yuba,18-49,35612.0,35612.0,2021-02-08,11.0,667.0,9.0,560.0,11.0,1227.0,34385.0,34385.0,0.0344546781983601,0.01572503650454903
54,Del Norte,50-64,5668.0,5668.0,2021-01-06,35.0,175.0,0.0,0.0,35.0,175.0,5493.0,5493.0,0.030875088214537758,0.0
55,Yuba,18-49,35612.0,35612.0,2021-02-07,2.0,665.0,3.0,551.0,2.0,1216.0,34396.0,34396.0,0.03414579355273503,0.015472312703583062
56,Del Norte,50-64,5668.0,5668.0,2021-01-05,16.0,140.0,0.0,0.0,16.0,140.0,5528.0,5528.0,0.024700070571630206,0.0
57,Yuba,18-49,35612.0,35612.0,2021-02-06,15.0,666.0,3.0,548.0,15.0,1214.0,34398.0,34398.0,0.03408963270807593,0.015388071436594406
58,Del Norte,50-64,5668.0,5668.0,2021-01-04,36.0,124.0,0.0,0.0,36.0,124.0,5544.0,5544.0,0.021877205363443897,0.0
59,Yuba,18-49,35612.0,35612.0,2021-02-05,15.0,654.0,49.0,545.0,15.0,1199.0,34413.0,34413.0,0.03366842637313265,0.01530383016960575
60,Del Norte,50-64,5668.0,5668.0,2021-01-03,0.0,88.0,0.0,0.0,0.0,88.0,5580.0,5580.0,0.015525758645024701,0.0
61,Yuba,18-49,35612.0,35612.0,2021-02-04,30.0,688.0,26.0,496.0,30.0,1184.0,34428.0,34428.0,0.033247220038189376,0.01392788947545771
62,Del Norte,50-64,5668.0,5668.0,2021-01-02,0.0,88.0,0.0,0.0,0.0,88.0,5580.0,5580.0,0.015525758645024701,0.0
63,Yuba,18-49,35612.0,35612.0,2021-02-03,11.0,684.0,58.0,470.0,11.0,1154.0,34458.0,34458.0,0.03240480736830282,0.013197798494889362
64,Del Norte,50-64,5668.0,5668.0,2021-01-01,0.0,88.0,0.0,0.0,0.0,88.0,5580.0,5580.0,0.015525758645024701,0.0
65,Yuba,18-49,35612.0,35612.0,2021-02-02,15.0,731.0,13.0,412.0,15.0,1143.0,34469.0,34469.0,0.03209592272267775,0.011569133999775357
66,Del Norte,50-64,5668.0,5668.0,2020-12-31,6.0,88.0,0.0,0.0,6.0,88.0,5580.0,5580.0,0.015525758645024701,0.0
67,Yuba,18-49,35612.0,35612.0,2021-02-01,20.0,729.0,16.0,399.0,20.0,1128.0,34484.0,34484.0,0.03167471638773447,0.011204088509491183
68,Del Norte,50-64,5668.0,5668.0,2020-12-30,22.0,82.0,0.0,0.0,22.0,82.0,5586.0,5586.0,0.014467184191954835,0.0
69,Yuba,18-49,35612.0,35612.0,2021-01-31,2.0,725.0,1.0,383.0,2.0,1108.0,34504.0,34504.0,0.031113107941143435,0.010754801752218353
70,Del Norte,50-64,5668.0,5668.0,2020-12-29,3.0,60.0,0.0,0.0,3.0,60.0,5608.0,5608.0,0.01058574453069866,0.0
71,Yuba,18-49,35612.0,35612.0,2021-01-30,26.0,724.0,7.0,382.0,26.0,1106.0,34506.0,34506.0,0.031056947096484332,0.010726721329888802
72,Del Norte,50-64,5668.0,5668.0,2020-12-28,10.0,57.0,0.0,0.0,10.0,57.0,5611.0,5611.0,0.010056457304163727,0.0
73,Yuba,18-49,35612.0,35612.0,2021-01-29,11.0,705.0,28.0,375.0,11.0,1080.0,34532.0,34532.0,0.030326856115915984,0.01053015837358194
74,Del Norte,50-64,5668.0,5668.0,2020-12-27,0.0,47.0,0.0,0.0,0.0,47.0,5621.0,5621.0,0.008292166549047283,0.0
75,Yuba,18-49,35612.0,35612.0,2021-01-28,20.0,722.0,26.0,347.0,20.0,1069.0,34543.0,34543.0,0.030017971470290915,0.009743906548354487
76,Del Norte,50-64,5668.0,5668.0,2020-12-26,0.0,47.0,0.0,0.0,0.0,47.0,5621.0,5621.0,0.008292166549047283,0.0
77,Yuba,18-49,35612.0,35612.0,2021-01-27,18.0,728.0,35.0,321.0,18.0,1049.0,34563.0,34563.0,0.029456363023699878,0.009013815567786139
78,Del Norte,50-64,5668.0,5668.0,2020-12-25,0.0,47.0,0.0,0.0,0.0,47.0,5621.0,5621.0,0.008292166549047283,0.0
79,Yuba,18-49,35612.0,35612.0,2021-01-26,15.0,745.0,39.0,286.0,15.0,1031.0,34581.0,34581.0,0.028950915421767944,0.008031000786251826
80,Del Norte,50-64,5668.0,5668.0,2020-12-24,0.0,47.0,0.0,0.0,0.0,47.0,5621.0,5621.0,0.008292166549047283,0.0
81,Yuba,18-49,35612.0,35612.0,2021-01-25,9.0,769.0,24.0,247.0,9.0,1016.0,34596.0,34596.0,0.028529709086824666,0.006935864315399304
82,Lassen,0-17,4381.0,358.0,2021-02-11,,,,,,,,,,
83,Yuba,18-49,35612.0,35612.0,2021-01-24,0.0,784.0,0.0,223.0,0.0,1007.0,34605.0,34605.0,0.0282769852858587,0.006261934179490059
84,Alameda,65+,285108.0,285108.0,2021-01-20,2945.0,15840.0,214.0,1016.0,2949.0,16856.0,268252.0,268252.0,0.05912145572905706,0.0035635618783057647
85,Yuba,18-49,35612.0,35612.0,2021-01-23,19.0,784.0,2.0,223.0,19.0,1007.0,34605.0,34605.0,0.0282769852858587,0.006261934179490059
86,Del Norte,50-64,5668.0,5668.0,2020-12-23,19.0,47.0,0.0,0.0,19.0,47.0,5621.0,5621.0,0.008292166549047283,0.0
87,Yuba,18-49,35612.0,35612.0,2021-01-22,8.0,767.0,6.0,221.0,8.0,988.0,34624.0,34624.0,0.027743457261597215,0.006205773334830956
