County,Population Density,Overall Median Age,% 25+ College Degree,% Democrat Votes,Median Household Income (2018),White,Asian,Black,Native American,Hispanic,% Male,% Female,Vaccine Initiation Ratio,Vaccine Completion Ratio,Case Density,norm pop dens,norm median age,norm college degree,norm democrat,norm median income,norm white,norm asian,norm black,norm native,norm hispanic,norm % male,norm % female,norm vacc initiation,norm vacc completion,norm case dens
Alameda County,2264.67,37.9,0.4,0.8,92574,0.46,0.26,0.13,0.01,0.22,0.49,0.51,0.47,0.31,7.49,0.598380585,-0.358567159,1.523109039,1.769661111,1.502049911,-2.338323503,2.551114647,2.86986556,-0.357087009,-0.339045089,-0.581190003,0.581190003,0.959292367,0.847782916,-0.034994443
Alpine County,1.53,49.9,0.3,0.64,64688,0.66,0.03,0,0.22,0.07,0.54,0.46,0.73,0.51,0,-0.296667832,1.495539399,0.528042633,0.702784408,0.01648517,-0.694561406,-0.448522812,-1.033797725,6.290903228,-1.226785365,1.617864649,-1.617864649,3.571496818,3.626915376,-2.072297837
Amador County,65.6,50.3,0.19,0.37,61198,0.88,0.01,0.02,0.03,0.12,0.54,0.46,0.4,0.22,7.55,-0.271329025,1.557342951,-0.499106074,-1.14406657,-0.169436832,1.073102357,-0.69740103,-0.315523681,0.02645089,-0.923084744,1.848327105,-1.848327105,0.262361949,-0.35981774,-0.018896396
Butte County,133.65,36.8,0.24,0.49,48443,0.83,0.04,0.02,0.01,0.14,0.49,0.51,0.33,0.24,7.5,-0.244414979,-0.528526927,-0.005897138,-0.286028146,-0.84893114,0.726177693,-0.330633131,-0.565358131,-0.325125517,-0.823798003,-0.472286715,0.472286715,-0.451236193,-0.086805146,-0.032915842
Calaveras County,45,51.9,0.2,0.37,58151,0.91,0.01,0.01,0.01,0.1,0.5,0.5,0.37,0.24,5.45,-0.279473108,1.804557158,-0.442023306,-1.116043543,-0.331758993,1.362206243,-0.710499883,-0.690275356,-0.357087009,-1.039892675,-0.340301979,0.340301979,-0.096696612,-0.079744857,-0.590490952
Colusa County,18.72,35.3,0.12,0.41,56704,0.68,0.01,0.01,0.02,0.54,0.51,0.49,0.3,0.19,9.28,-0.289868392,-0.760290246,-1.162942942,-0.869841226,-0.408844705,-0.537619296,-0.723598737,-0.721504662,-0.293164026,1.506520221,0.206579026,-0.206579026,-0.720516795,-0.686427451,0.453245211
Contra Costa County,1602.12,40,0.38,0.72,93712,0.63,0.14,0.09,0.01,0.24,0.49,0.51,0.5,0.31,8.93,0.336348005,-0.034098511,1.321474052,1.19652347,1.562674335,-0.934104626,0.992351076,1.808069146,-0.484932975,-0.239758348,-0.74420027,0.74420027,1.266934788,0.864840889,0.357227477
Del Norte County,27.59,40.1,0.14,0.41,45258,0.73,0.03,0.03,0.06,0.18,0.55,0.45,0.28,0.18,14.9,-0.286360002,-0.018647623,-1.024815542,-0.858498572,-1.018604944,-0.141133966,-0.47472052,-0.003230618,1.272949059,-0.613543727,1.928059246,-1.928059246,-0.922300591,-0.83727437,1.980727593
El Dorado County,112.64,46.5,0.31,0.44,80582,0.88,0.04,0.01,0.01,0.12,0.5,0.5,0.36,0.24,9.33,-0.252723429,0.970209207,0.621683854,-0.617633976,0.863202734,1.09788269,-0.422325105,-0.783963275,-0.421009992,-0.946446331,-0.296559097,0.296559097,-0.164199679,-0.024728818,0.46738929
Fresno County,167.55,32.7,0.19,0.53,51261,0.6,0.1,0.05,0.01,0.5,0.5,0.5,0.35,0.22,7.09,-0.231007891,-1.162013334,-0.512821526,-0.053170129,-0.698808446,-1.19842818,0.363606107,0.558896895,-0.421009992,1.272904359,-0.274820487,0.274820487,-0.288318167,-0.332305754,-0.142615443
Glenn County,21.59,36,0.14,0.35,47395,0.78,0.02,0.01,0.03,0.37,0.51,0.49,0.3,0.21,8.55,-0.28873279,-0.652134031,-0.99447102,-1.222797934,-0.904761013,0.313172141,-0.579511348,-0.752733969,0.122335364,0.501972014,0.206543652,-0.206543652,-0.748614852,-0.427439184,0.254995845
Humboldt County,37.94,38.9,0.26,0.65,45528,0.83,0.02,0.01,0.06,0.1,0.5,0.5,0.39,0.24,4.18,-0.282267376,-0.204058279,0.184993181,0.756161604,-1.004221294,0.676617027,-0.579511348,-0.65904605,1.177064584,-1.074935055,-0.418723039,0.418723039,0.170237473,-0.097662649,-0.934895528
Imperial County,43.4,32.7,0.13,0.61,45834,0.67,0.02,0.04,0.02,0.8,0.51,0.49,0.32,0.19,13.87,-0.280105934,-1.162013334,-1.129716136,0.495947774,-0.987919823,-0.587179962,-0.671203323,0.059227995,-0.197279551,3.013342531,0.355748465,-0.355748465,-0.520960677,-0.700913516,1.702833592
Inyo County,1.77,45.1,0.21,0.49,52874,0.78,0.02,0.01,0.1,0.19,0.5,0.5,0.4,0.28,5.54,-0.296572054,0.753896776,-0.277046371,-0.322057754,-0.612879452,0.263611475,-0.684302176,-0.690275356,2.55140872,-0.543458969,-0.18947811,0.18947811,0.215472239,0.473291188,-0.563958238
Kern County,110.56,32,0.15,0.44,52479,0.69,0.04,0.06,0.01,0.49,0.51,0.49,0.28,0.17,12.38,-0.25354572,-1.27016955,-0.908289933,-0.668342312,-0.6339222,-0.455018186,-0.356830838,0.746272733,-0.3890485,1.196979203,0.337709923,-0.337709923,-0.950592113,-0.939732595,1.295671902
Kings County,110.03,32,0.12,0.43,53865,0.72,0.04,0.07,0.02,0.5,0.55,0.45,0.23,0.14,6.73,-0.253756905,-1.27016955,-1.179421317,-0.738399882,-0.560086127,-0.207214855,-0.383028545,1.214712327,-0.293164026,1.296265945,2.183798856,-2.183798856,-1.516876377,-1.423918377,-0.242407929
Lake County,51.18,45.2,0.15,0.52,42475,0.85,0.01,0.02,0.03,0.17,0.5,0.5,0.34,0.24,8.65,-0.277030437,0.769347664,-0.902958171,-0.121893269,-1.166863091,0.833559137,-0.73669759,-0.346752987,0.314104313,-0.6602669,-0.231687147,0.231687147,-0.404714313,-0.089865384,0.282137207
Lassen County,6.71,37.9,0.12,0.23,56362,0.7,0.01,0.09,0.04,0.17,0.62,0.38,0.19,0.15,4.21,-0.294619277,-0.358567159,-1.192961769,-2.025457518,-0.427063996,-0.372417075,-0.710499883,1.683151921,0.569796245,-0.619384124,5.509370719,-5.509370719,-1.853137858,-1.312016902,-0.928055521
Los Angeles County,2472.69,37.1,0.28,0.71,64251,0.52,0.14,0.09,0.01,0.48,0.49,0.51,0.4,0.24,5.14,0.680647368,-0.482174263,0.392953603,1.156490573,-0.006795035,-1.826196619,0.926856809,1.651922615,-0.516894466,1.138575238,-0.562134209,0.562134209,0.265466634,-0.014544204,-0.673398611
Madera County,73.59,34.5,0.13,0.43,52884,0.81,0.02,0.03,0.02,0.53,0.48,0.52,0.31,0.19,11.9,-0.268169584,-0.88389735,-1.106862911,-0.705706349,-0.612346724,0.527935028,-0.618807908,-0.003230618,-0.069433585,1.448116255,-1.061462435,1.061462435,-0.661993389,-0.665962478,1.164246687
Marin County,497.74,47.5,0.55,0.82,110217,0.8,0.06,0.03,0.01,0.15,0.49,0.51,0.59,0.41,4.36,-0.100420607,1.124718087,2.905381984,1.910443465,2.441941567,0.445333918,-0.147249181,-0.096918537,-0.612778941,-0.765394038,-0.739524699,0.739524699,2.238492369,2.21156099,-0.885893455
Mariposa County,11.86,52.2,0.21,0.4,51199,0.89,0.01,0.01,0.02,0.09,0.51,0.49,0.29,0.12,3.32,-0.292583138,1.850909822,-0.305344188,-0.929890572,-0.702111359,1.230044467,-0.73669759,-0.721504662,-0.101395077,-1.086615848,0.211009372,-0.211009372,-0.903034233,-1.62920867,-1.168504046
Mendocino County,24.72,43.8,0.22,0.66,49233,0.83,0.02,0.01,0.05,0.22,0.5,0.5,0.43,0.33,3.46,-0.287494822,0.553035232,-0.216797563,0.848237267,-0.806845644,0.693137249,-0.645005615,-0.690275356,0.857449669,-0.368247072,-0.423708115,0.423708115,0.564986436,1.114127855,-1.131343888
Merced County,143.95,31.3,0.12,0.54,50129,0.67,0.08,0.04,0.01,0.54,0.5,0.5,0.3,0.17,9.62,-0.240341354,-1.378325766,-1.156674658,0.026895665,-0.759113233,-0.611960296,0.101629036,0.18414522,-0.3890485,1.5415626,-0.005037798,0.005037798,-0.764501298,-1.010835683,0.545346014
Modoc County,2.24,49,0.16,0.27,45149,0.88,0.01,0.01,0.04,0.14,0.5,0.5,0.28,0.24,4.85,-0.296385496,1.356481407,-0.814765215,-1.814617594,-1.024411677,1.073102357,-0.775994151,-0.690275356,0.346065805,-0.847159589,-0.086399412,0.086399412,-0.97993643,-0.055510504,-0.753332398
Mono County,4.75,40.7,0.31,0.6,63018,0.81,0.01,0.01,0.05,0.26,0.53,0.47,0.49,0.42,5.93,-0.295395414,0.074057704,0.659190685,0.391195027,-0.072480373,0.511414806,-0.802191858,-0.627816744,0.793526686,-0.128790814,1.184586219,-1.184586219,1.218082197,2.433295702,-0.457651833
Monterey County,130.66,34.9,0.22,0.7,66676,0.72,0.06,0.03,0.01,0.55,0.51,0.49,0.4,0.23,5.13,-0.245596481,-0.822093798,-0.187351931,1.055741116,0.122391456,-0.207214855,-0.06865606,-0.06568923,-0.325125517,1.553243393,0.210830725,-0.210830725,0.222922766,-0.166588701,-0.675326861
Napa County,182.68,42.2,0.3,0.69,84753,0.81,0.07,0.02,0.01,0.32,0.5,0.5,0.5,0.34,10.89,-0.225022451,0.305821024,0.546078693,1.025049228,1.085403499,0.560975472,0.009937061,-0.4092116,-0.421009992,0.20411179,-0.347265654,0.347265654,1.269934443,1.309203397,0.890691988
