Date,LTCF,Non_ltcf,Total,Cumulative
2020/02/06,0,1,1,1
2020/02/17,0,1,1,2
2020/03/06,0,1,1,3
2020/03/09,0,2,2,5
2020/03/13,0,1,1,6
2020/03/15,0,2,2,8
2020/03/17,0,3,3,11
2020/03/20,0,2,2,13
2020/03/21,0,2,2,15
2020/03/22,0,2,2,17
2020/03/23,1,4,5,22
2020/03/24,0,1,1,23
2020/03/25,0,7,7,30
2020/03/27,0,1,1,31
2020/03/28,0,2,2,33
2020/03/29,0,2,2,35
2020/03/30,0,2,2,37
2020/03/31,0,1,1,38
2020/04/01,0,3,3,41
2020/04/02,0,2,2,43
2020/04/03,1,0,1,44
2020/04/04,1,1,2,46
2020/04/05,1,2,3,49
2020/04/06,1,0,1,50
2020/04/07,2,0,2,52
2020/04/08,0,2,2,54
2020/04/09,1,3,4,58
2020/04/10,1,0,1,59
2020/04/11,5,1,6,65
2020/04/12,4,2,6,71
2020/04/13,0,1,1,72
2020/04/14,2,0,2,74
2020/04/15,3,1,4,78
2020/04/16,2,1,3,81
2020/04/17,2,3,5,86
2020/04/18,2,2,4,90
2020/04/19,1,1,2,92
2020/04/20,4,1,5,97
2020/04/21,2,1,3,100
2020/04/22,1,2,3,103
2020/04/23,0,1,1,104
2020/04/24,1,0,1,105
2020/04/25,1,0,1,106
2020/04/26,2,1,3,109
2020/04/27,1,1,2,111
2020/04/28,1,1,2,113
2020/04/29,1,1,2,115
2020/04/30,2,1,3,118
2020/05/01,1,1,2,120
2020/05/02,2,1,3,123
2020/05/03,1,1,2,125
2020/05/04,3,1,4,129
2020/05/06,1,1,2,131
2020/05/08,1,0,1,132
2020/05/09,0,1,1,133
2020/05/11,1,1,2,135
2020/05/12,1,0,1,136
2020/05/13,0,1,1,137
2020/05/14,0,1,1,138
2020/05/15,0,1,1,139
2020/05/16,1,0,1,140
2020/05/20,1,0,1,141
2020/05/21,1,0,1,142
2020/05/25,1,0,1,143
2020/05/26,1,0,1,144
2020/05/28,1,1,2,146
2020/05/31,1,1,2,148
2020/06/01,0,1,1,149
2020/06/02,0,1,1,150
2020/06/04,1,0,1,151
2020/06/05,0,1,1,152
2020/06/07,1,0,1,153
2020/06/08,1,0,1,154
2020/06/09,0,1,1,155
2020/06/10,1,0,1,156
2020/06/12,2,1,3,159
2020/06/14,0,1,1,160
2020/06/16,1,0,1,161
2020/06/19,0,1,1,162
2020/06/20,1,0,1,163
2020/06/23,2,0,2,165
2020/06/24,1,0,1,166
2020/06/25,0,1,1,167
