COVID-19 Vaccinations in Long Term Care Facilities
Date generated: Wed Feb 24 2021 19:32:09 GMT-0800 (Pacific Standard Time)

State/Territory,Total LTC Doses Adminstered,People in LTC with 1+ Doses,People in LTC with 2 Doses
Alabama,73090,47381,25464
Alaska,6120,4087,2011
American Samoa,N/A,N/A,N/A
Arizona,88327,70271,17817
Arkansas,23824,18494,5251
California,672044,442038,227057
Colorado,120648,79616,40480
Connecticut,125466,75871,48831
Delaware,31435,23533,7754
District of Columbia,7476,5130,2245
Federated States of Micronesia,N/A,N/A,N/A
Florida,372726,232149,138103
Georgia,110569,68929,41033
Guam,N/A,N/A,N/A
Hawaii,20420,13534,6878
Idaho,24966,15870,9024
Illinois,364561,265290,98413
Indiana,114602,76949,37424
Iowa,130919,88308,41870
Kansas,85117,54345,30578
Kentucky,88198,60250,27611
Louisiana,96185,70620,25138
Maine,34765,22455,12234
Marshall Islands,N/A,N/A,N/A
Maryland,140963,100707,39451
Massachusetts,286940,177453,107906
Michigan,234397,165734,67625
Minnesota,142097,100020,41569
Mississippi,45912,30367,15388
Missouri,134049,90907,42766
Montana,20084,13354,6699
Nebraska,55477,37277,18048
Nevada,67648,49456,18062
New Hampshire,44221,27290,16761
New Jersey,219827,140316,78437
New Mexico,34848,24134,10478
New York State,376838,243232,129929
North Carolina,191571,134864,55670
North Dakota,6365,3598,2738
Northern Mariana Islands,N/A,N/A,N/A
Ohio,340072,223790,113451
Oklahoma,59692,41701,17685
Oregon,97088,66535,30378
Pennsylvania,359443,223942,133435
Puerto Rico,61693,49392,12278
Republic of Palau,N/A,N/A,N/A
Rhode Island,43228,28134,14920
South Carolina,91379,61031,29762
South Dakota,12171,8383,3778
Tennessee,86444,63020,23192
Texas,422180,273597,146125
Utah,52575,33853,18473
Vermont,19455,12651,6727
Virgin Islands,N/A,N/A,N/A
Virginia,186444,116656,68055
Washington,133944,94028,39258
West Virginia,N/A,N/A,N/A
Wisconsin,133740,104292,29171
Wyoming,6406,3782,2603
